barcode,score,grade,binding_caps,nova,fat,sodium,context_flag
2107071,59.3,C,None,2,16.0,840.0,brined_food
2107798,72.5,B,87.0,3,5.0,1000.0,brined_food
2133162,80.3,A,None,2,5.0,1300.0,brined_food
2133889,78.9,B,None,2,5.0,1200.0,brined_food
2385455,63.1,C,None,2,24.0,1010.0,brined_food
2511229,72.9,B,None,2,16.0,940.0,brined_food
2511236,75,B,None,2,5.0,880.0,brined_food
2511243,72.9,B,None,2,16.0,940.0,brined_food
3075805,64.7,C,None,1,17.0,1628.0,brined_food
369617,48.5,D,87.0,3,31.0,800.0,brined_food
48413,66.3,B,None,2,16.0,1065.0,brined_food
4861056,75,B,None,2,5.0,780.0,brined_food
4861070,75,B,None,2,24.0,300.0,None
4861360,73.6,B,87.0,3,5.0,850.0,brined_food
554457,84.8,A,None,1,5.0,600.0,brined_food
554532,84.8,A,None,1,5.0,600.0,brined_food
5992872,75,B,None,2,5.0,650.0,brined_food
7290011499051,71.6,B,None,2,20.0,930.0,brined_food
7290011499105,75.4,B,None,2,5.0,1200.0,brined_food
7290011499112,70.2,B,None,2,16.0,1200.0,brined_food
7290011499129,80.1,A,None,1,5.0,1010.0,brined_food
7290011499303,80.4,A,None,2,5.0,950.0,brined_food
7290011499327,76.2,B,None,2,5.0,1010.0,brined_food
7290011499358,75.3,B,None,2,20.0,770.0,brined_food
7290011499365,56.6,C,87.0,3,24.0,1000.0,brined_food
7290017065236,68.4,B,None,1,24.0,1010.0,brined_food
7290017065663,75.6,B,None,1,16.0,950.0,brined_food
7290019635222,69.1,B,None,1,16.0,1010.0,brined_food
7290019635826,85.4,A,None,1,5.0,950.0,brined_food
7290019790112,70.5,B,None,2,20.0,1500.0,brined_food
7290019790402,76.4,B,None,1,16.0,1300.0,brined_food
7290019790808,71.6,B,None,2,16.0,1400.0,brined_food
7290102393718,64.6,C,None,1,28.0,980.0,brined_food
7290102397334,83.6,A,None,1,5.0,1550.0,brined_food
7290108509106,80.5,A,None,1,13.0,720.0,brined_food
7290108509755,66.7,B,None,1,23.0,1000.0,brined_food
7290114310550,73.6,B,None,2,5.0,890.0,brined_food
7290114312486,46.0,D,87.0,3,16.0,950.0,brined_food
7290114312707,54.8,C,87.0,3,16.0,950.0,brined_food
7290114314015,72.4,B,None,1,14.0,1400.0,brined_food
7296073641902,71.7,B,None,2,20.0,1100.0,brined_food
7296073641919,62.5,C,None,2,24.0,1000.0,brined_food
7296073641940,82.0,A,None,2,5.0,1000.0,brined_food
7296073641957,72.0,B,None,2,16.0,1000.0,brined_food
7296073641964,78.7,B,None,2,5.0,1000.0,brined_food
7296073644996,75,B,None,2,24.0,300.0,None
7296073730330,53.4,C,None,2,22.0,1200.0,brined_food
8606370,53.4,C,None,2,22.0,1200.0,brined_food
